iter	Passed	Remaining
0	181	181174
1	191	95661
2	196	65343
3	201	50082
4	205	40980
5	210	34870
6	214	30459
7	221	27481
8	227	25086
9	234	23249
10	241	21676
11	245	20229
12	250	19038
13	255	17982
14	259	17044
15	265	16342
16	271	15709
17	276	15072
18	281	14509
19	285	13974
20	289	13493
21	294	13078
22	299	12722
23	304	12383
24	311	12134
25	315	11818
26	321	11571
27	325	11307
28	330	11058
29	335	10840
30	340	10637
31	344	10421
32	352	10319
33	358	10196
34	368	10173
35	379	10165
36	389	10132
37	412	10448
38	432	10664
39	438	10523
40	443	10372
41	449	10257
42	455	10147
43	461	10032
44	470	9990
45	476	9883
46	482	9780
47	488	9694
48	494	9594
49	500	9514
50	506	9424
51	514	9371
52	520	9291
53	528	9258
54	533	9168
55	540	9115
56	547	9063
57	556	9042
58	567	9053
59	572	8967
60	577	8883
61	582	8818
62	587	8741
63	591	8657
64	596	8578
65	601	8515
66	605	8437
67	610	8363
68	621	8389
69	627	8341
70	638	8350
71	644	8308
72	652	8280
73	657	8231
74	664	8190
75	668	8131
76	673	8069
77	679	8033
78	683	7973
79	688	7914
80	693	7868
81	698	7814
82	702	7759
83	706	7704
84	711	7656
85	715	7605
86	720	7557
87	725	7520
88	729	7471
89	734	7425
90	739	7388
91	744	7343
92	748	7300
93	753	7266
94	758	7224
95	762	7181
96	767	7145
97	772	7112
98	777	7072
99	781	7032
100	786	7002
101	791	6966
102	795	6931
103	803	6925
104	808	6893
105	813	6858
106	818	6829
107	822	6794
108	827	6761
109	832	6735
110	836	6701
111	841	6669
112	846	6642
113	850	6610
114	854	6577
115	859	6553
116	864	6523
117	868	6491
118	872	6461
119	879	6449
120	884	6428
121	890	6407
122	894	6380
123	899	6353
124	903	6324
125	908	6303
126	912	6274
127	917	6250
128	922	6230
129	927	6204
130	931	6181
131	938	6168
132	942	6143
133	947	6121
134	952	6101
135	956	6074
136	960	6050
137	964	6025
138	970	6009
139	974	5987
140	979	5964
141	984	5948
142	988	5925
143	993	5903
144	998	5888
145	1002	5865
146	1007	5843
147	1011	5824
148	1016	5805
149	1020	5783
150	1025	5766
151	1030	5749
152	1034	5727
153	1039	5709
154	1044	5694
155	1048	5674
156	1053	5654
157	1057	5633
158	1062	5620
159	1067	5602
160	1071	5582
161	1076	5570
162	1081	5552
163	1085	5534
164	1092	5527
165	1098	5518
166	1103	5506
167	1109	5492
168	1113	5474
169	1117	5458
170	1122	5444
171	1127	5425
172	1131	5409
173	1136	5394
174	1140	5377
175	1145	5360
176	1149	5343
177	1154	5331
178	1159	5316
179	1163	5299
180	1168	5288
181	1173	5273
182	1177	5257
183	1185	5256
184	1189	5241
185	1193	5225
186	1198	5212
187	1202	5195
188	1207	5180
189	1212	5168
190	1216	5152
191	1220	5136
192	1225	5122
